,session_id,timestamp,user_id,product_id,event_type,offered_discount,purchase_id
0,124,2021-01-01 18:24:14,102,1002,VIEW_PRODUCT,0,
1,124,2021-01-01 18:27:37,102,1003,VIEW_PRODUCT,0,
2,124,2021-01-01 18:28:11,102,1075,VIEW_PRODUCT,0,
3,124,2021-01-01 18:29:03,102,1076,VIEW_PRODUCT,0,
4,124,2021-01-01 18:30:46,102,1077,VIEW_PRODUCT,0,
5,124,2021-01-01 18:34:07,102,1078,VIEW_PRODUCT,0,
6,124,2021-01-01 18:35:58,102,1079,VIEW_PRODUCT,0,
7,124,2021-01-01 18:38:43,102,1080,VIEW_PRODUCT,0,
8,124,2021-01-01 18:39:03,102,1081,VIEW_PRODUCT,0,
9,124,2021-01-01 18:43:28,102,1081,BUY_PRODUCT,0,20001.0
10,125,2021-01-03 20:40:54,102,1283,VIEW_PRODUCT,10,
11,125,2021-01-03 20:45:12,102,1283,VIEW_PRODUCT,10,
12,126,2021-01-07 20:45:44,102,1048,VIEW_PRODUCT,5,
13,126,2021-01-07 20:48:50,102,1049,VIEW_PRODUCT,5,
14,126,2021-01-07 20:49:42,102,1050,VIEW_PRODUCT,5,
15,126,2021-01-07 20:51:13,102,1051,VIEW_PRODUCT,5,
16,126,2021-01-07 20:54:59,102,1052,VIEW_PRODUCT,5,
17,126,2021-01-07 20:55:33,102,1053,VIEW_PRODUCT,5,
18,126,2021-01-07 20:56:40,102,1054,VIEW_PRODUCT,5,
19,126,2021-01-07 20:58:17,102,1055,VIEW_PRODUCT,5,
20,126,2021-01-07 20:58:31,102,1056,VIEW_PRODUCT,5,
21,126,2021-01-07 21:01:25,102,1057,VIEW_PRODUCT,5,
22,127,2021-01-23 14:54:00,102,1048,VIEW_PRODUCT,0,
23,127,2021-01-23 14:58:43,102,1049,VIEW_PRODUCT,0,
24,127,2021-01-23 14:58:48,102,1050,VIEW_PRODUCT,0,
25,127,2021-01-23 14:59:40,102,1051,VIEW_PRODUCT,0,
26,127,2021-01-23 15:01:43,102,1052,VIEW_PRODUCT,0,
27,127,2021-01-23 15:04:51,102,1053,VIEW_PRODUCT,0,
28,127,2021-01-23 15:06:19,102,1054,VIEW_PRODUCT,0,
29,127,2021-01-23 15:11:00,102,1055,VIEW_PRODUCT,0,
30,127,2021-01-23 15:12:15,102,1056,VIEW_PRODUCT,0,
31,127,2021-01-23 15:13:39,102,1057,VIEW_PRODUCT,0,
32,128,2021-01-25 17:04:15,102,1278,VIEW_PRODUCT,20,
33,128,2021-01-25 17:05:03,102,1281,VIEW_PRODUCT,20,
34,128,2021-01-25 17:06:10,102,1281,BUY_PRODUCT,20,20002.0
35,129,2021-01-28 09:28:21,102,1278,VIEW_PRODUCT,10,
36,129,2021-01-28 09:28:46,102,1281,VIEW_PRODUCT,10,
37,130,2021-02-02 05:44:58,102,1002,VIEW_PRODUCT,15,
38,130,2021-02-02 05:46:26,102,1003,VIEW_PRODUCT,15,
39,130,2021-02-02 05:50:09,102,1075,VIEW_PRODUCT,15,
40,130,2021-02-02 05:53:36,102,1076,VIEW_PRODUCT,15,
41,130,2021-02-02 05:58:26,102,1077,VIEW_PRODUCT,15,
42,130,2021-02-02 06:03:06,102,1078,VIEW_PRODUCT,15,
43,130,2021-02-02 06:05:46,102,1079,VIEW_PRODUCT,15,
44,130,2021-02-02 06:06:02,102,1080,VIEW_PRODUCT,15,
45,130,2021-02-02 06:08:45,102,1081,VIEW_PRODUCT,15,
46,131,2021-02-02 22:56:57,102,1048,VIEW_PRODUCT,20,
47,131,2021-02-02 22:57:33,102,1049,VIEW_PRODUCT,20,
48,131,2021-02-02 23:01:53,102,1050,VIEW_PRODUCT,20,
49,131,2021-02-02 23:03:41,102,1051,VIEW_PRODUCT,20,
50,131,2021-02-02 23:07:11,102,1052,VIEW_PRODUCT,20,
51,131,2021-02-02 23:09:17,102,1053,VIEW_PRODUCT,20,
52,131,2021-02-02 23:13:07,102,1054,VIEW_PRODUCT,20,
53,131,2021-02-02 23:15:27,102,1055,VIEW_PRODUCT,20,
54,131,2021-02-02 23:17:54,102,1056,VIEW_PRODUCT,20,
55,131,2021-02-02 23:19:56,102,1057,VIEW_PRODUCT,20,
56,132,2021-02-09 05:24:13,102,1276,VIEW_PRODUCT,20,
57,132,2021-02-09 05:26:29,102,1277,VIEW_PRODUCT,20,
58,132,2021-02-09 05:29:44,102,1277,BUY_PRODUCT,20,20003.0
59,133,2021-02-17 03:44:05,102,1283,VIEW_PRODUCT,20,
60,133,2021-02-17 03:44:35,102,1004,VIEW_PRODUCT,20,
61,133,2021-02-17 03:48:27,102,1005,VIEW_PRODUCT,20,
62,133,2021-02-17 03:51:36,102,1006,VIEW_PRODUCT,20,
63,133,2021-02-17 03:51:42,102,1007,VIEW_PRODUCT,20,
64,133,2021-02-17 03:52:34,102,1008,VIEW_PRODUCT,20,
65,133,2021-02-17 03:54:30,102,1009,VIEW_PRODUCT,20,
66,133,2021-02-17 03:57:20,102,1010,VIEW_PRODUCT,20,
67,133,2021-02-17 04:01:00,102,1011,VIEW_PRODUCT,20,
68,133,2021-02-17 04:01:47,102,1012,VIEW_PRODUCT,20,
69,133,2021-02-17 04:03:42,102,1013,VIEW_PRODUCT,20,
70,134,2021-02-20 11:32:46,102,1276,VIEW_PRODUCT,5,
71,134,2021-02-20 11:34:49,102,1277,VIEW_PRODUCT,5,
72,135,2021-02-21 03:17:00,102,1284,VIEW_PRODUCT,20,
73,135,2021-02-21 03:18:18,102,1285,VIEW_PRODUCT,20,
74,135,2021-02-21 03:20:55,102,1286,VIEW_PRODUCT,20,
75,135,2021-02-21 03:23:07,102,1287,VIEW_PRODUCT,20,
76,135,2021-02-21 03:25:19,102,1288,VIEW_PRODUCT,20,
77,135,2021-02-21 03:26:29,102,1289,VIEW_PRODUCT,20,
78,135,2021-02-21 03:26:51,102,1290,VIEW_PRODUCT,20,
79,135,2021-02-21 03:31:08,102,1291,VIEW_PRODUCT,20,
80,135,2021-02-21 03:34:17,102,1292,VIEW_PRODUCT,20,
81,135,2021-02-21 03:35:39,102,1293,VIEW_PRODUCT,20,
82,135,2021-02-21 03:38:57,102,1293,BUY_PRODUCT,20,20004.0
83,136,2021-02-23 03:30:44,102,1040,VIEW_PRODUCT,10,
84,136,2021-02-23 03:31:07,102,1041,VIEW_PRODUCT,10,
85,136,2021-02-23 03:32:30,102,1042,VIEW_PRODUCT,10,
86,136,2021-02-23 03:37:01,102,1043,VIEW_PRODUCT,10,
87,136,2021-02-23 03:37:49,102,1044,VIEW_PRODUCT,10,
88,136,2021-02-23 03:40:09,102,1045,VIEW_PRODUCT,10,
89,136,2021-02-23 03:43:20,102,1046,VIEW_PRODUCT,10,
90,136,2021-02-23 03:43:36,102,1047,VIEW_PRODUCT,10,
91,136,2021-02-23 03:45:54,102,1084,VIEW_PRODUCT,10,
92,136,2021-02-23 03:46:03,102,1084,BUY_PRODUCT,10,20005.0
93,137,2021-02-27 00:11:53,102,1001,VIEW_PRODUCT,20,
94,137,2021-02-27 00:14:33,102,1001,BUY_PRODUCT,20,20006.0
95,138,2021-03-05 14:13:50,102,1233,VIEW_PRODUCT,15,
96,138,2021-03-05 14:18:46,102,1234,VIEW_PRODUCT,15,
97,139,2021-03-08 10:24:42,102,1233,VIEW_PRODUCT,10,
98,139,2021-03-08 10:27:49,102,1234,VIEW_PRODUCT,10,
99,140,2021-03-16 17:00:52,102,1276,VIEW_PRODUCT,20,
100,140,2021-03-16 17:03:37,102,1277,VIEW_PRODUCT,20,
101,140,2021-03-16 17:07:38,102,1277,BUY_PRODUCT,20,20007.0
102,141,2021-03-20 16:59:51,102,1002,VIEW_PRODUCT,5,
103,141,2021-03-20 17:02:36,102,1003,VIEW_PRODUCT,5,
104,141,2021-03-20 17:05:14,102,1075,VIEW_PRODUCT,5,
105,141,2021-03-20 17:05:39,102,1076,VIEW_PRODUCT,5,
106,141,2021-03-20 17:08:38,102,1077,VIEW_PRODUCT,5,
107,141,2021-03-20 17:10:01,102,1078,VIEW_PRODUCT,5,
108,141,2021-03-20 17:14:53,102,1079,VIEW_PRODUCT,5,
109,141,2021-03-20 17:18:41,102,1080,VIEW_PRODUCT,5,
110,141,2021-03-20 17:22:20,102,1081,VIEW_PRODUCT,5,
111,141,2021-03-20 17:22:52,102,1002,VIEW_PRODUCT,5,
112,141,2021-03-20 17:23:13,102,1003,VIEW_PRODUCT,5,
113,141,2021-03-20 17:27:25,102,1075,VIEW_PRODUCT,5,
114,141,2021-03-20 17:31:51,102,1076,VIEW_PRODUCT,5,
115,141,2021-03-20 17:32:47,102,1077,VIEW_PRODUCT,5,
116,141,2021-03-20 17:36:41,102,1078,VIEW_PRODUCT,5,
117,141,2021-03-20 17:41:39,102,1079,VIEW_PRODUCT,5,
118,141,2021-03-20 17:45:32,102,1080,VIEW_PRODUCT,5,
119,141,2021-03-20 17:49:41,102,1081,VIEW_PRODUCT,5,
120,142,2021-03-23 05:15:47,102,1017,VIEW_PRODUCT,20,
121,142,2021-03-23 05:18:43,102,1025,VIEW_PRODUCT,20,
122,142,2021-03-23 05:18:58,102,1030,VIEW_PRODUCT,20,
123,142,2021-03-23 05:19:39,102,1032,VIEW_PRODUCT,20,
