,Unnamed: 0,session_id,timestamp,user_id,product_id,event_type,offered_discount,purchase_id
0,0,124,2021-01-01 18:24:14,102,1002,VIEW_PRODUCT,0,
1,1,124,2021-01-01 18:27:37,102,1003,VIEW_PRODUCT,0,
2,2,124,2021-01-01 18:28:11,102,1075,VIEW_PRODUCT,0,
3,3,124,2021-01-01 18:29:03,102,1076,VIEW_PRODUCT,0,
4,4,124,2021-01-01 18:30:46,102,1077,VIEW_PRODUCT,0,
5,5,124,2021-01-01 18:34:07,102,1078,VIEW_PRODUCT,0,
6,6,124,2021-01-01 18:35:58,102,1079,VIEW_PRODUCT,0,
7,7,124,2021-01-01 18:38:43,102,1080,VIEW_PRODUCT,0,
8,8,124,2021-01-01 18:39:03,102,1081,VIEW_PRODUCT,0,
9,9,124,2021-01-01 18:43:28,102,1081,BUY_PRODUCT,0,20001.0
10,10,125,2021-01-03 20:40:54,102,1283,VIEW_PRODUCT,10,
11,11,125,2021-01-03 20:45:12,102,1283,VIEW_PRODUCT,10,
12,12,126,2021-01-07 20:45:44,102,1048,VIEW_PRODUCT,5,
13,13,126,2021-01-07 20:48:50,102,1049,VIEW_PRODUCT,5,
14,14,126,2021-01-07 20:49:42,102,1050,VIEW_PRODUCT,5,
15,15,126,2021-01-07 20:51:13,102,1051,VIEW_PRODUCT,5,
16,16,126,2021-01-07 20:54:59,102,1052,VIEW_PRODUCT,5,
17,17,126,2021-01-07 20:55:33,102,1053,VIEW_PRODUCT,5,
18,18,126,2021-01-07 20:56:40,102,1054,VIEW_PRODUCT,5,
19,19,126,2021-01-07 20:58:17,102,1055,VIEW_PRODUCT,5,
20,20,126,2021-01-07 20:58:31,102,1056,VIEW_PRODUCT,5,
21,21,126,2021-01-07 21:01:25,102,1057,VIEW_PRODUCT,5,
22,22,127,2021-01-23 14:54:00,102,1048,VIEW_PRODUCT,0,
23,23,127,2021-01-23 14:58:43,102,1049,VIEW_PRODUCT,0,
24,24,127,2021-01-23 14:58:48,102,1050,VIEW_PRODUCT,0,
25,25,127,2021-01-23 14:59:40,102,1051,VIEW_PRODUCT,0,
26,26,127,2021-01-23 15:01:43,102,1052,VIEW_PRODUCT,0,
27,27,127,2021-01-23 15:04:51,102,1053,VIEW_PRODUCT,0,
28,28,127,2021-01-23 15:06:19,102,1054,VIEW_PRODUCT,0,
29,29,127,2021-01-23 15:11:00,102,1055,VIEW_PRODUCT,0,
30,30,127,2021-01-23 15:12:15,102,1056,VIEW_PRODUCT,0,
31,31,127,2021-01-23 15:13:39,102,1057,VIEW_PRODUCT,0,
35,35,129,2021-01-28 09:28:21,102,1278,VIEW_PRODUCT,10,
36,36,129,2021-01-28 09:28:46,102,1281,VIEW_PRODUCT,10,
46,46,131,2021-02-02 22:56:57,102,1048,VIEW_PRODUCT,20,
47,47,131,2021-02-02 22:57:33,102,1049,VIEW_PRODUCT,20,
48,48,131,2021-02-02 23:01:53,102,1050,VIEW_PRODUCT,20,
49,49,131,2021-02-02 23:03:41,102,1051,VIEW_PRODUCT,20,
50,50,131,2021-02-02 23:07:11,102,1052,VIEW_PRODUCT,20,
51,51,131,2021-02-02 23:09:17,102,1053,VIEW_PRODUCT,20,
52,52,131,2021-02-02 23:13:07,102,1054,VIEW_PRODUCT,20,
53,53,131,2021-02-02 23:15:27,102,1055,VIEW_PRODUCT,20,
54,54,131,2021-02-02 23:17:54,102,1056,VIEW_PRODUCT,20,
55,55,131,2021-02-02 23:19:56,102,1057,VIEW_PRODUCT,20,
56,56,132,2021-02-09 05:24:13,102,1276,VIEW_PRODUCT,20,
57,57,132,2021-02-09 05:26:29,102,1277,VIEW_PRODUCT,20,
58,58,132,2021-02-09 05:29:44,102,1277,BUY_PRODUCT,20,20003.0
59,59,133,2021-02-17 03:44:05,102,1283,VIEW_PRODUCT,20,
60,60,133,2021-02-17 03:44:35,102,1004,VIEW_PRODUCT,20,
61,61,133,2021-02-17 03:48:27,102,1005,VIEW_PRODUCT,20,
62,62,133,2021-02-17 03:51:36,102,1006,VIEW_PRODUCT,20,
63,63,133,2021-02-17 03:51:42,102,1007,VIEW_PRODUCT,20,
64,64,133,2021-02-17 03:52:34,102,1008,VIEW_PRODUCT,20,
65,65,133,2021-02-17 03:54:30,102,1009,VIEW_PRODUCT,20,
66,66,133,2021-02-17 03:57:20,102,1010,VIEW_PRODUCT,20,
67,67,133,2021-02-17 04:01:00,102,1011,VIEW_PRODUCT,20,
68,68,133,2021-02-17 04:01:47,102,1012,VIEW_PRODUCT,20,
69,69,133,2021-02-17 04:03:42,102,1013,VIEW_PRODUCT,20,
70,70,134,2021-02-20 11:32:46,102,1276,VIEW_PRODUCT,5,
71,71,134,2021-02-20 11:34:49,102,1277,VIEW_PRODUCT,5,
72,72,135,2021-02-21 03:17:00,102,1284,VIEW_PRODUCT,20,
73,73,135,2021-02-21 03:18:18,102,1285,VIEW_PRODUCT,20,
74,74,135,2021-02-21 03:20:55,102,1286,VIEW_PRODUCT,20,
75,75,135,2021-02-21 03:23:07,102,1287,VIEW_PRODUCT,20,
76,76,135,2021-02-21 03:25:19,102,1288,VIEW_PRODUCT,20,
77,77,135,2021-02-21 03:26:29,102,1289,VIEW_PRODUCT,20,
78,78,135,2021-02-21 03:26:51,102,1290,VIEW_PRODUCT,20,
79,79,135,2021-02-21 03:31:08,102,1291,VIEW_PRODUCT,20,
80,80,135,2021-02-21 03:34:17,102,1292,VIEW_PRODUCT,20,
81,81,135,2021-02-21 03:35:39,102,1293,VIEW_PRODUCT,20,
82,82,135,2021-02-21 03:38:57,102,1293,BUY_PRODUCT,20,20004.0
83,83,136,2021-02-23 03:30:44,102,1040,VIEW_PRODUCT,10,
84,84,136,2021-02-23 03:31:07,102,1041,VIEW_PRODUCT,10,
85,85,136,2021-02-23 03:32:30,102,1042,VIEW_PRODUCT,10,
86,86,136,2021-02-23 03:37:01,102,1043,VIEW_PRODUCT,10,
87,87,136,2021-02-23 03:37:49,102,1044,VIEW_PRODUCT,10,
88,88,136,2021-02-23 03:40:09,102,1045,VIEW_PRODUCT,10,
89,89,136,2021-02-23 03:43:20,102,1046,VIEW_PRODUCT,10,
90,90,136,2021-02-23 03:43:36,102,1047,VIEW_PRODUCT,10,
91,91,136,2021-02-23 03:45:54,102,1084,VIEW_PRODUCT,10,
92,92,136,2021-02-23 03:46:03,102,1084,BUY_PRODUCT,10,20005.0
